Date,Close
7/1/2006,26.872461
8/1/2006,27.189278
9/1/2006,28.123478
10/1/2006,28.781479
11/1/2006,28.984566
12/1/2006,29.845654
1/1/2007,30.121853
2/1/2007,29.203899
3/1/2007,28.943949
4/1/2007,30.064987
5/1/2007,30.787977
6/1/2007,29.390739
7/1/2007,26.726238
8/1/2007,27.416735
9/1/2007,27.879772
10/1/2007,27.400488
11/1/2007,25.182777
12/1/2007,23.501219
1/1/2008,23.671812
2/1/2008,20.982941
3/1/2008,20.203087
4/1/2008,21.616571
5/1/2008,20.113729
6/1/2008,16.458164
7/1/2008,17.571079
8/1/2008,17.400488
9/1/2008,16.157595
10/1/2008,12.61576
11/1/2008,10.284322
12/1/2008,10.170593
1/1/2009,7.506093
2/1/2009,6.173842
3/1/2009,7.156783
4/1/2009,8.716491
5/1/2009,9.935012
6/1/2009,9.707555
7/1/2009,10.568643
8/1/2009,11.941511
9/1/2009,12.136474
10/1/2009,11.413485
11/1/2009,11.909017
12/1/2009,11.697807
1/1/2010,11.51909
2/1/2010,11.925264
3/1/2010,12.956946
4/1/2010,13.127539
5/1/2010,11.925264
6/1/2010,11.218522
7/1/2010,11.949634
8/1/2010,11.015435
9/1/2010,11.657189
10/1/2010,11.827782
11/1/2010,11.746548
12/1/2010,12.956946
1/1/2011,13.322502
2/1/2011,13.688058
3/1/2011,13.314379
4/1/2011,13.306255
5/1/2011,12.867587
6/1/2011,12.469537
7/1/2011,12.022746
8/1/2011,10.869212
9/1/2011,9.593826
10/1/2011,10.966694
11/1/2011,10.406174
12/1/2011,10.56052
1/1/2012,11.421608
2/1/2012,11.990252
3/1/2012,12.835093
4/1/2012,12.534525
5/1/2012,11.380991
6/1/2012,11.89277
7/1/2012,11.909017
8/1/2012,12.315191
9/1/2012,12.6645
10/1/2012,12.916328
11/1/2012,12.8026
12/1/2012,13.314379
1/1/2013,14.118603
2/1/2013,14.289196
3/1/2013,14.792851
4/1/2013,15.190902
5/1/2013,16.116978
6/1/2013,15.800162
7/1/2013,16.645004
8/1/2013,15.792039
9/1/2013,16.173841
10/1/2013,16.709991
11/1/2013,17.449228
12/1/2013,17.757919
1/1/2014,17.108042
2/1/2014,17.627945
3/1/2014,18.147846
4/1/2014,17.839155
5/1/2014,18.107229
6/1/2014,18.472786
7/1/2014,18.204712
8/1/2014,18.976442
9/1/2014,18.822096
10/1/2014,19.366369
11/1/2014,19.821283
12/1/2014,20.089357
1/1/2015,18.69212
2/1/2015,19.780666
3/1/2015,19.585703
4/1/2015,19.60195
5/1/2015,19.983753
6/1/2015,19.805037
7/1/2015,20.479284
8/1/2015,19.033306
9/1/2015,18.407799
10/1/2015,19.561333
11/1/2015,19.95126
12/1/2015,19.358246
1/1/2016,17.644192
2/1/2016,17.132414
3/1/2016,18.277822
4/1/2016,18.935825
5/1/2016,19.293259
6/1/2016,18.570269
7/1/2016,19.212023
8/1/2016,19.95126
9/1/2016,19.299999
10/1/2016,19.74
11/1/2016,22.51
12/1/2016,23.25
1/1/2017,23.309999
2/1/2017,24.540001
3/1/2017,23.73
4/1/2017,23.530001
5/1/2017,23.25
6/1/2017,24.67
7/1/2017,25.09
8/1/2017,24.700001
9/1/2017,25.860001
10/1/2017,26.6
11/1/2017,27.52
12/1/2017,27.91
1/1/2018,29.74
2/1/2018,28.870001
3/1/2018,27.57
4/1/2018,27.450001
5/1/2018,27.18
6/1/2018,26.59
7/1/2018,27.950001
8/1/2018,28.33
9/1/2018,27.58
10/1/2018,26.280001
11/1/2018,26.969999
12/1/2018,23.82
1/1/2019,25.940001
2/1/2019,26.52
3/1/2019,25.709999
4/1/2019,28.02
5/1/2019,26.01
6/1/2019,27.6
7/1/2019,28.25
8/1/2019,26.92
9/1/2019,28
10/1/2019,28.700001
11/1/2019,30.15
12/1/2019,30.780001
1/1/2020,29.959999
2/1/2020,26.59
3/1/2020,20.82
4/1/2020,22.790001
5/1/2020,23.41
6/1/2020,23.139999
7/1/2020,24.030001
8/1/2020,25.059999
9/1/2020,24.07
10/1/2020,23.860001
11/1/2020,27.879999
12/1/2020,29.48
1/1/2021,28.950001
2/1/2021,32.310001
3/1/2021,34.049999
4/1/2021,36.259998
5/1/2021,37.990002
6/1/2021,36.689999
7/1/2021,36.52
8/1/2021,38.400002
9/1/2021,37.529999
10/1/2021,40.259998
11/1/2021,37.959999
12/1/2021,39.049999
1/1/2022,39.060001
2/1/2022,38.52
3/1/2022,38.32
4/1/2022,34.509998
